1,4,5,predicted_4
151,49,96,51.416774749755859
1278,54,80,55.918239593505859
1321,59,80,58.845077514648438
267.5,52,96,50.13720703125
22,56,80,50.584442138671875
511,59,96,57.051307678222656
305,57,80,52.178501129150391
1038,56,64,56.360286712646484
1351,56,80,56.830879211425781
140.75,52,96,53.238140106201172
540.5,57,112,55.838855743408203
480.5,59,96,56.772708892822266
466,57,96,55.885467529296875
292,45,80,48.946201324462891
180,49,80,50.393848419189453
285.5,54,96,54.048698425292969
412,47,80,51.552810668945312
546,57,112,55.771575927734375
968,54,64,54.285980224609375
246.5,64,80,63.134891510009766
661,50,64,52.854969024658203
579,56,112,55.512737274169922
214.5,44,96,49.137763977050781
1361,57,80,59.587985992431641
1431,54,80,57.487041473388672
166,57,80,52.537059783935547
479,59,96,57.032485961914062
1265.5,80,80,77.883827209472656
232.5,50,80,51.913101196289062
1343,56,80,56.586814880371094
687,52,64,54.768825531005859
582,57,112,55.291965484619141
196.5,49,96,51.844619750976562
1243.5,78,80,80.727798461914062
48,49,80,49.068042755126953
1073,64,96,62.379470825195312
441,52,96,55.476333618164062
829,61,96,58.680965423583984
1386,59,80,59.764118194580078
756,61,96,60.146629333496094
571,56,112,55.812187194824219
548.5,57,112,55.461223602294922
562.5,52,112,55.510551452636719
442,57,96,55.739780426025391
132.5,57,96,58.456962585449219
322,61,96,58.983112335205078
1073.5,64,96,62.305709838867188
826.5,57,96,58.346035003662109
148.75,56,96,53.92626953125
266,49,96,48.372459411621094
817.5,61,96,59.072811126708984
571.75,56,112,55.904888153076172
92,50,96,51.066013336181641
1118.5,59,96,58.624305725097656
1137,61,96,58.991825103759766
562,57,112,55.884124755859375
1106.5,57,96,57.828533172607422
333.5,55,96,54.597644805908203
531,56,112,55.384353637695312
80.5,47,96,47.955890655517578
324,57,96,58.174507141113281
225,52,80,51.461296081542969
1289,59,80,58.774944305419922
1028,57,64,56.032390594482422
1026,57,64,56.364646911621094
1041.5,59,96,59.942089080810547
942,56,64,55.665378570556641
543.75,57,112,56.992630004882812
